2255             0.74
6065             2.55
7221             3.12
7256             2.46
8926             2.75
10909            3.82
16803            6.64
19958            6.32
20933            9.48
22603           15.74
24011           16.93
24770            8.66
34870           14.37
39973           18.71
53614           24.01
78101           30.33
97946           21.65
133059           25.9
152341          61.58


2255             0.12
6065             0.17
7221             0.19
7256             0.07
8926             0.05
10909             0.1
16803            0.24
19958             0.1
20933            0.47
22603            1.55
24011            1.58
24770            2.06
34870            0.81
39973            0.54
53614            3.98
78101            0.66
97946            2.31
133059           0.52
152341           2.97


2255             1.45
6065             6.41
7221             8.35
7256             4.57
8926             5.12
10909            7.42
16803           14.61
19958            12.2
20933           19.95
22603           51.87
24011           53.55
24770           18.39
34870           36.53
39973           38.52
53614          147.98
78101           67.43
97946           63.47
133059          80.48
152341         166.66


2255             0.03
6065             0.13
7221             0.16
7256             0.12
8926             0.13
10909            0.19
16803            0.32
19958            0.33
20933            0.45
22603            0.85
24011            0.86
24770            0.41
34870            0.73
39973            1.08
53614             1.8
78101            1.91
97946            2.87
133059            2.9
152341           4.81
