2255.000000 186930.178270509990
6065.000000 88000.854740313269
7221.000000 78995.339149702253
7256.000000 72255.788313120182
8926.000000 60381.813130181494
10909.000000 54788.552571271430
16803.000000 44618.927572457302
19958.000000 36357.079466880452
20933.000000 37569.005875889743
22603.000000 49452.816705747027
24011.000000 48911.129065844820
24770.000000 33950.664190553085
34870.000000 30251.432635503297
39973.000000 29222.566832612014
53614.000000 33209.274592457194
78101.000000 24931.891166566369
97946.000000 27524.236783533783
133059.000000 16769.776775716036
152341.000000 23581.448040908224
