Name  L        WF      M  TMOS BScon  Matching
mn1   0.30     0.705   1  NMOS True   1
mn2   0.30     0.705   1  NMOS True   1
mn5   0.15     2.145   1  NMOS False  2
mn6   0.15     2.145   1  NMOS False  2
mp11  0.35     1.225   1  PMOS True   3
mp12  0.35     1.225   1  PMOS True   3
mp15  0.35     0.840   1  PMOS True   4
mp16  0.35     0.840   1  PMOS True   4
