Name  L        WF      M  TMOS BScon  Matching
mn1   1.35     0.420   1  NMOS True   1
mn2   1.35     0.420   1  NMOS True   1
mn5   0.15     0.520   1  NMOS False  2
mn6   0.15     0.520   1  NMOS False  2
mp11  0.58     0.525   1  PMOS True   3
mp12  0.58     0.525   1  PMOS True   3
mp15  0.35     0.840   1  PMOS True   4
mp16  0.35     0.840   1  PMOS True   4
