6065             2.71
7221             3.31
7256             2.61
8926             2.86
10909             4.2
16803            6.95
19958            6.71
20933            8.21
22603           13.66
24011           14.63
34870           14.47
39973           16.37
53614           33.86
78101           33.63
135664          87.52
152341         108.01


6065              0.2
7221             0.23
7256              0.1
8926             0.06
10909            0.29
16803             0.3
19958            0.13
20933            0.55
22603             1.4
24011            1.37
34870            0.95
39973            1.24
53614            7.27
78101             2.7
135664          12.56
152341           7.52


6065             7.19
7221             9.58
7256              5.3
8926             5.29
10909           10.16
16803           16.46
19958           12.13
20933           21.17
22603           46.55
24011           50.16
34870            42.5
39973           42.76
53614          294.07
78101           89.58
135664         351.91
152341         216.86


6065             0.19
7221             0.28
7256             0.21
8926             0.22
10909            0.36
16803            0.61
19958            0.52
20933            0.75
22603            1.25
24011             1.3
34870             1.3
39973            1.53
53614            3.05
78101            3.49
135664          16.83
152341           8.03
